Darija (Arabic),Darija (Arabizi),Arabic Standard,English
,,مازالت الكنيسة قائمة. كل شيء آخر دُمر.,The church is still standing. Everything else was destroyed.
,,ولي العهد هو من يرث العرش.,The crown prince is the one who is to succeed to the throne.
,,الحل الّذي اقترحَهُ مستحيل تماماً.,The solution he proposed was completely out of the question.
,,هذا المنتجع الصيفي لم يعد مرغوبا كما كان.,This summer resort is no longer as popular as it used to be.
,,نحن نبحث عن بعض الناس البارعين في الكمبيوتر للعمل معنا.,We're looking for some computer-savvy people to work for us.
,,يجب عليك أن تُخطط للقدوم معنا المرة المقبلة التي نذهب فيها للتخييم.,You should plan to come with us the next time we go camping.
,,ينبغي أن تحاول تكوين عادةٍ لاستخدام قواميسك.,You should try to form the habit of using your dictionaries.
,,ما أن رن الجرس حتى دخلت المعلمة إلى الصف.,As soon as the bell rang the teacher came into the classroom.
,,في البداية وجد صعوبة في الإعتياد على العيش في بيته الجديد.,At first he had trouble adjusting to living in his new house.
,,يمكن معالجة السرطان إذا اِكْتُشِفَ في مرحلة مبكّرة.,Cancer can be cured easily if it is found in its first phase.
,,تسليم البضاعة يتم بعد شهر من تسجيل الطلب.,Delivery of goods is done after a month of placing the order.
,,كم هديةً تتوقع أنها استلمت في الإجازة الماضية؟,How many gifts do you think she received last holiday season?
,,سمعتُ أن متجر حلوى قطن قد فتح للتو. لنذهب، يا أصحاب.,"I heard a cotton candy shop has just opened. Let's go, dudes."
,,إذا أطعمت كلبك بشكل صحيح، تستطيع أن ترفع من عمره.,"If you feed your dog properly, you can increase his lifespan."
,,هل صحيح ان بوسطن مقصد شهير للسياح ؟,Is it true that Boston is a popular destination for tourists?
,,أرجوك لا تقل بأنك لن تدع توم يلعب معي بعد الآن.,Please don't say that you won't let Tom play with me anymore.
,,الكتاب مكتوب بإنجليزية بسيطة، لذا قراءته سهلة.,"This book is written in simple English, so it's easy to read."
,,توم لا يعتقد ان الذهاب الى السباحة عارياً فكرة سديدة للغاية.,Tom doesn't think it's a very good idea to go skinny dipping.
,,حاول توم إيقاف ماري من شرب آخر زجاجة من النبيذ.,Tom tried to stop Mary from drinking the last bottle of wine.
,,كان توم مع كلبه في المتنزه عندما رأيته هذا الصباح.,Tom was with his dog in the park when I saw him this morning.
,,عندما استيقظت هذا الصباح لم أرد القيام عن السرير.,"When I woke us this morning, I didn't want to get out of bed."
,,يمكنك سماع الإنجليزية على المحطة ١ و اليابانية على المحطة ٧.,"You can hear English on Channel 1, and Japanese on Channel 7."
,,قبل أن تكتب شيئًا، ينبغي أن تتأكد من الحقائق.,You should make sure of the facts before you write something.
,,تم قبوله في الجامعة بعد أن رسب في امتحان القبول مرتين.,He entered the university after failing the examination twice.
,,يستطيع أبوها إعطاءها مصروفا كبيرا كل شهر.,Her father can afford to give her a big allowance every month.
,,"مرحباً. إذا لم أكُن مُخطِئاً, أنتَ جارنا الجديد. اليس كذلك؟","Hi. If I'm not mistaken, you're our new neighbors, aren't you?"
,,"مرحباً. إذا لم أكُن مُخطِئاً, أنتِ جارتنُنا الجديدة, اليس كذلك؟","Hi. If I'm not mistaken, you're our new neighbors, aren't you?"
,,أنا نظرت إلى نفسي في المرآة ولم أحب ما رأيت.,I looked at myself in the mirror and I didn't like what I saw.
,,إذا سمحت، أريد إبدال هذا بمقاس أكبر.,"If it's possible, I'd like to exchange this for a larger size."
,,المدينة تكتسب شعبية كوجهة سياحية كبيرة .,The city is gaining popularity as a major tourist destination.
,,لا يستطيع الناس في الجزء الخلفي من الغرفة سماع المتحدث .,The people in the rear of the room could not hear the speaker.
,,عبّر الشاعر عن رغبته الحارقة للمرأة التي أحبها.,The poet expressed his burning passion for the woman he loved.
,,كرّسَ الطبيبَ الشابَ نفسهُ لمساعدةِ الفقراءِ والمرضى.,The young doctor devoted himself to helping the poor and sick.
,,هناك الكثير من الأمور التي لا تعرفها عن شخصيتي.,There are a lot of things you don't know about my personality.
,,توم لا يريد مني التحدث عن ما ناقشناه بالأمس.,Tom doesn't want me to talk about what we discussed yesterday.
,,قال توم بأنه اعتقد أن الاقتصاد كان من المحتمل أن يتحسن,Tom said that he thought the economy was likely to get better.
,,نريد قسمه. أيمكنك أن تحضره لنا في طبقين؟,We'd like to split it. Could you bring it to us on two plates?
,,ما الذي يجعلك متيقّنًا بأنّ توم هو الذي سرق درّاجتك؟,What makes you so sure Tom was the one who stole your bicycle?
,,ما أن سمعت الجرس حتى ردت على الهاتف.,"As soon as she heard the bell ring, she answered the telephone."
,,في أي أيام الاسبوع يغلق بلو سكاي سبورت أبوابه؟,Do you remember what day of the week Blue Sky Sports is closed?
,,لا تجادل وانت غضبان ولا تأكل وانت شبعان.,Don't argue when you are angry and don't eat when you are full.
,,سأكون قد درست الإنجليزية لخمس سنوات مع حلول فبراير المقبل.,I will have been studying English for five years next February.
,,يعتمد اقتصاد الجزيرة على صناعة الصيد.,The economy of the island is dependent on the fishing industry.
,,لا شيء يماثل كأسا من الجعة بعد جهد يوم كامل.,There is nothing like a glass of beer after a whole day's work.
,,علينا أن نبقي هذه المعلومة سراً في الوقت الراهن.,We should keep this information under wraps for the time being.
,,علينا إبقاء هذه المعلومات في طي الكتمان في الوقت الحاضر.,We should keep this information under wraps for the time being.
,,انقلبت سيارته عدة مرات قبل سقوطها في النهر.,His car turned over several times before falling into the river.
,,لا أدري ماذا كان يمكنني أن أفعل لولا مجيئك لمساعدتي.,I don't know what I would've done if you hadn't come to help me.
,,أنا أتحدث عن هذا القلم، وليس عن ذاك الموجود هناك على المكتب.,"I'm talking about this pen, not that one over there on the desk."
,,المشكلة اننا لسنا متأكدين كم من المال يحتاج توم,The problem is that we're not sure how much money Tom will need.
,,سنأكل كثيرًا الليلة، آمل أنك لست على حمية.,We're going to eat a lot tonight so I hope you're not on a diet.
,,في الحقيقة لم آكل أي شيء منذ هذا الصباح.,"As a matter of fact, I haven't eaten anything since this morning."
,,أشعر بانتعاش تام بعد أن قضيت أسبوعا في البلاد.,I feel completely refreshed after spending a week in the country.
